,sentences,labels
1970,"According to Tiimari , consumers are advised to cut away the rabbits bow tie that contains the formadehyde and dispose of it .",neutral
1971,Panostaja is a financially secure Finnish multi-field corporation that creates healthy companies and company entities .,neutral
1972,Net sales decreased to EUR 91.6 mn from EUR 109mn in the corresponding period in 2005 .,negative
1973,"Loudeye Corp. , up $ 2.56 at $ 4.33 Nokia Corp. , down 10 cents at $ 19.46 Nokia agreed to buy the digital music distributor for $ 60 million .",neutral
1974,"The tests , conducted at Nokia Siemens ' LTE center of competence in Espoo , Finland , follow the company 's production start of LTE-ready Flexi Multiradio Base Stations for the 800 MHz band in April 2010 , and complement earlier tests with Nokia on the 2100 MHz and 2600 MHz bands .",neutral
1975,4 ) Complete name of the shareholder : Otto Henrik Bernhard Nyberg 5 ) Further information : The amount of shares now transferred corresponds to 5.68 % of the total number of shares in Aspo Plc. .,neutral
1976,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,positive
1977,"The cosmetics collection includes an eye shadow , face powder , lip gloss , mascara and accessories .",neutral
1978,Decisions are to be made as quickly as possible .,neutral
1979,"In addition a reduction of nine persons will be made through pension or other arrangements , the company added .",neutral
1980,Finnair was able to operate most of its leisure flights despite the strike .,positive
1981,The Board of Directors has proposed the Extraordinary General Meeting to authorise the Board to decide on the issuance of a maximum of 30mn new shares in one or more share issues .,neutral
1982,"In the autumn , it plans to expand service to St. Petersburg and Moscow and launch service to Yekaterinburg , Russia , flying there three times a week .",positive
1983,"The company plans to close two of the three lines at the plant , where some 450 jobs are under threat .",negative
1984,"Kiosk and cinema operations have suffered , in particular .",negative
1985,"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",negative
1986,It is in line with its plans to focus on selected growth segments and streamline corporate structure .,positive
1987,The credit covers approximately 70 % of the ship 's price .,neutral
1988,Currency conversions are based on exchange rates at the time of the deal .,neutral
1989,"ADP News - Jan 13 , 2009 - Finnish industrial and environmental measurement equipment maker Vaisala Oyj OMX : VAIAS said yesterday it will develop an operational reference radiosonde for climate change observations .",neutral
1990,"In the beginning of the negotiations , the estimated number of reductions was 50 at the maximum .",neutral
1991,"No price was given for the transaction , which merges two London companies that have worked together on a number of projects including delivery of timetables for Britain 's National Express East Coast rail networks .",neutral
1992,"As a domestic business , Best-In is already close to Finnish dog owners .",positive
1993,Basic banking activities continued as normal .,neutral
1994,It is a disappointment to see the plan folded .,negative
1995,"Scanfil , a systems supplier and contract manufacturer to the communications sector , will give notice to 20 productional employees , and temporarily lay off 15 employees at the company 's plant in Sievi , in Finland .",negative
1996,Nordea was the cheapest also for a couple in their 30s with debt .,neutral
1997,"On top of that , the US Commerce Department published worse-than-expected construction spending figures for November .",negative
1998,"Finnish plumbing and heating systems supplier Uponor 's net sales in continuing business operations decreased to EUR 249.1 mn in July-September 2008 , compared to EUR 262.1 mn in the third quarter of 2007 .",negative
1999,Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .,positive
2000,"`` In the newly formed company YIT Stavo the local contact network , expertise and market know how of Euro Stavokonsult will be combined with YIT 's housing concept , '' said Juha Kostiainen , Yit 's Vice President , Corporate Communications and Business Development .",positive
2001,"The company is now intensifying its smelter operations and increasing its annual production capacity to 230,000 tonnes of copper .",positive
2002,The Symbian Foundation plans to revise its procedures for testing and signing software after digitally signing a trojan for its Symbian mobile phone operating system by mistake .,neutral
2003,"With the new arrangement , customer responsibilities will become mainly regional .",neutral
2004,"The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .",neutral
2005,"Most of the growth in beer consumption took place in the Far East , Latin America and Africa .",neutral
2006,"The company 's goal is to achieve annual savings of EUR 2 million ( USD 2.7 m ) , of which two thirds are to be realized in 2010 .",positive
2007,"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier .",negative
2008,"schwalm ( at ) outotec.com Eila Paatela , Vice President - Corporate Communications tel. +358 20 529 2004 , mobile +358 400 817198 e-mail eila .",neutral
2009,"Founded in 1649 , Fiskars has over 360 years of product quality excellence and is Finland 's oldest company .",neutral
2010,The company is reportedly searching for a replacement for CEO Olli-Pekka Kallasvuo .,neutral
2011,Kalmar has been awarded a new 5-year contract to supply its Rough Terrain Container Handler RTCH .,positive
2012,The new organization consists of two business units : Charging & Messaging and Finance & Administration .,neutral
2013,facades in Riga 8 March 2010 - Finnish construction company YIT Oyj HEL : YTY1V said today that it will build the frame and the facades in a tower construction project in Riga .,neutral
2014,"Tikkurila has an interesting growth strategy , which we support .",neutral
2015,"In Q1 of 2009 , Bank of +_land 's net interest income weakened by 10 % to EUR 9.1 mn .",negative
2016,"The product range includes marinated olives , cold cuts , and pates , for example .",neutral
2017,Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million .,positive
2018,28 January 2011 - Finnish technology center operator Technopolis Oyj (HEL : TPS1V)said today it will invest EUR22 .5 m in the construction of the second phase of an office facility in Tampere .,neutral
2019,Cameco is to provide an upfront investment of up to USD 60mn for the construction of the uranium extraction circuit .,neutral
2020,L&T has also made a commitment to redeem the remaining shares by the end of 2011 .,neutral
2021,Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .,neutral
2022,"Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway .",neutral
2023,GenVec is a biopharmaceutical company developing novel therapeutic drugs and vaccines .,neutral
2024,"Thus the group 's balance sheet will have about EUR 25.8 million of goodwill , the company added .",neutral
2025,Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .,positive
2026,"The move will be carried out by transferring HKScan 's production-related property , plant , equipment , as well as its holdings in subsidiaries and associate companies in the country to HKScan Finland .",neutral
2027,"Helsinki on October 22 , 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information , please contact : Tomi Laamanen , Chairman , tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. .",neutral
2028,About Elcoteq Elcoteq SE is a leading electronics manufacturing services ( EMS ) company in the communications technology field .,positive
2029,"Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program .",neutral
2030,Around 250 of these reductions will be implemented through pension arrangements .,neutral
2031,"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ ??",negative
2032,"The guidance has been set at 90 basis points over mid-swaps , the report said .",neutral
2033,"According to Laavainen , Raisio 's food marketing used to be reactive and inconsistent .",negative
2034,"The Whitehall Street Real Estate Funds invest in real estate and real estate related assets , principally through the acquisition of real estate companies , real property and mortgage loans .",neutral
2035,Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,positive
2036,The Finnish textiles and clothing company Marimekko Corporation ( OMX Helsinki : MMO1V ) reported on Wednesday ( 5 November ) an operating profit of EUR8 .1 m on net sales of EUR59m for the period from January to September 2008 .,neutral
2037,The merger between the two telecoms operators was expected to result in the world 's fourth largest telecoms operator .,neutral
2038,"Following the impact , the Altima hit a utility pole , causing a live electric line to fall onto the roadway .",neutral
2039,The second-quarter net sales are expected to be on par with the first quarter of 2009 .,neutral
2040,"Meanwhile , Alfa owns 25.1 % of MegaFon through Altimo , and 4.99 % of Turkcell via an 18.5 % stake in Cukurova Holding .",neutral
2041,"Enclosed is Affecto 's call for Extraordinary General Meeting to be held on July 10th where the main agenda is to approve the authorization to the Board for the proposed share issue related to the Component Software acquisition , and to elect Haakon Skaarer to the Affecto board .",neutral
2042,Her last position in Nokia Siemens Networks was head of Business Human Resources NSN global IT .,neutral
2043,Scanfil expects net sales in 2008 to remain at the 2007 level .,neutral
2044,Sales of mid-strength beer decreased by 40 % .,negative
2045,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive
2046,"Changes being announced today will be effective after the close of trading on Friday , June 19 , 2009 .",neutral
2047,"In 2006 , TeliaSonera net sales were SEK 91 bn , EBITDA was SEK 32.266 bn , net income was SEK 19.28 bn .",neutral
2048,"ALEXANDRIA , Va. , Aug. 27 -- Timo Vataja of Tampere , Finland , Virve Inget of Oulu , Finland , have developed a computer program product with activating the right of use .",neutral
2049,This beauty is an updated version of her chichi loop shade launched in 2001 .,neutral
2050,"The StoneGate product family was designed to provide the full benefits of a unified management system including shared logging , reporting and auditing .",neutral
2051,"This is Done Logistics ' largest order in Norway , the diversified group said .",positive
2052,"According to CEO Matti Perkonoja of the parent company HKScan , the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 .",negative
2053,"The Basware Connectivity services allow companies to handle purchase to pay processes online and make their internal processes more efficient , '' said CEO Ilkka Sihvo , Basware Corporation .",positive
2054,`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',negative
2055,"Most recently , he founded Virent Energy Systems , Inc. , an 80 person catalytic biofuels company , where , as president and CEO , he led the company through multiple financings , defined the company 's market strategy , and secured the company 's first customers .",neutral
2056,Exel wants to serve its industrial customers with individual products .,neutral
2057,"`` UPM 's deliveries increased during the third quarter by 4 percent , and the efficiency of operations improved , '' Chief Executive Jussi Pesonen said .",positive
2058,The value of the orders is about EUR 25mn .,neutral
2059,Technopolis 's technological centers supply their clients with modern high-class premises .,neutral
2060,The reductions will be implemented mainly in the course of the first half of 2009 .,neutral
2061,"Kesko has about 2,000 stores engaged in chain operations in the Nordic and Baltic countries , Russia , and Belarus .",neutral
2062,Together they generate Aspo 's goodwill .,neutral
2063,Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier .,negative
2064,The company will propose a dividend of EUR0 .12 per share for 2008 .,neutral
2065,"The machine will have an annual production capacity of 200,000 tonnes of super-calendered magazine paper and other paper grades based on recovered fiber , Stora Enso said .",neutral
2066,Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,positive
2067,"Profit per share was EUR 1.03 , up from EUR 0.87 .",positive
2068,"The Division also includes joint sales , marketing and controlling functions for these units .",neutral
2069,"`` If you need malware removal tools , type the URL of your vendor of choice directly into the browser bar and use links on their website , '' wrote Trend Micro 's Rik Ferguson on Monday .",neutral
2070,In February the Elcoteq group sold its St Petersburg facility ; according to unconfirmed information the reason could have been supply problems because of the Russian customs service .,negative
2071,The proposal that the Board of Directors will make at the Annual General Meeting is attached as a whole to this release .,neutral
2072,The most significant challengers in the market are Logset and Sampo-Rosenlew .,neutral
2073,"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 .",positive
2074,"Finnish diversified holding company Aspo Oyj said on September 8 , 2008 that it will sell the Finnish tape business of its Kaukomarkkinat unit to local Oy Telpak Ab .",neutral
2075,"The competition was received with great enthusiasm by the employees , he goes on .",positive
2076,"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.2 percent from 23.91 percent , as beer sales for the nine months jumped by 11.4 percent to 52.99 million liters .",positive
2077,"According to Finnish L+Ænnen Tehtaat 's CEO Matti Karppinen , now that L+Ænnen Tehtaat has sold the majority of its feed and grain business , it will quickly start to look for acquisitions .",neutral
2078,Metsaliitto said that it will book a minor gain of less than EUR1 .0 m from the transaction .,positive
2079,Lieksaare Oy has earlier been regarded under the control of Saarelainen Oy and the individual shareholders under the shareholder agreement .,neutral
2080,The company then said it will focus its resources on clinical research .,neutral
2081,"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .",positive
2082,The impact of this acquisition to Teleste 's net sales for 2010 is estimated to be approximately EUR 2 million .,neutral
2083,DMASIA-16 August 2006-Benefon extends manufacturing capability with ASMobile -_ 2006 Digitalmediaasia.com & DMA Ltd. .,positive
2084,"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",positive
2085,"Its main business area , the Glass Machinery Group of Glaston Technologies , is the global market leader in glass processing machines .",positive
2086,Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .,positive
2087,"The total donation amount is EUR 1,115,000 .",neutral
2088,"The wireless industry is bracing itself for the iPhone , which will launch on June 29 .",neutral
2089,"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .",negative
2090,Benefon will turn the Salo unit into a B2B business unit and establish a B2C business unit in the UK .,neutral
2091,Affecto has participated in the program for the development of the Norwegian pension system since 2007 .,neutral
2092,The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,neutral
2093,`` We have the most expensive water brand in Finland at the moment . '',neutral
2094,"Its product portfolio comprises harvesters , forwarders , harvester heads , as well as cranes and loaders .",neutral
2095,"Sales VAT inclusive expanded by 19 percent , to 351 million euros .",positive
2096,"Swiss bank Credit Suisse International will act as an investor in the locomotive manufacturing plant , the Astana administration said .",neutral
2097,"The Finnish real estate investment company Interavanti Oyj said on Monday ( 22 September ) that it has agreed to sell its 65 % ownership in the Finnish ticket service company Lippupiste Oy to CTS Eventim AG ( 56,1 % ) and to the managing director of Lippupiste Oy .",neutral
2098,The through service of FESCO is a telling example of strengthening the relationship between logistics companies and operators at the international level .,positive
2099,Europe needs 17 new large paper machines .,neutral
2100,"According to CEO Kai Telanne , the company 's newspapers achieved the best financial result ever .",positive
2101,Following the increase the company+EUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,neutral
2102,"Profit for the period totalled EUR 1.1 mn , down from EUR 1.6 mn in the third quarter of 2008 .",negative
2103,"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",positive
2104,"`` The industry is coming to an interesting fork in the road as both handset manufacturers and wireless carriers attempt to serve as the portal for Web-based service to your wireless handset , '' he wrote .",neutral
2105,"Price talk is in the mid-market swaps plus 105 bps area and the leads are Barclays , BNPP , UBS and CBA .",neutral
2106,"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",negative
2107,The value of the orders is over EUR 25mn .,neutral
2108,"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",positive
2109,Nordic Walking was first used as a summer training method by cross-country skiers .,neutral
2110,"It now owns 80,565 shares in Amer Sports Corporation , equaling 0.11 % of the company 's share capital and voting rights .",neutral
2111,"Swedbank Hypotek - Is to issue a benchmark , fixed rate covered deal in Euros , maturing January 2010 .",neutral
2112,The EUR17m contract includes both design and construction works .,neutral
2113,Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia .,positive
2114,Finnish Ahlstrom Corporation has ordered key production equipment for a new glass nonwovens production line at its Russian Tver Mill from Finnish Vaahto Pulp & Paper Machinery ( that is part of Vaahto Group ) .,positive
2115,The agreement includes application maintenance and support services .,neutral
2116,"Sukhraj Dulai , of the 2900 block of Boni Sue Court , a cul-de-sac on the city 's north side , started the vehicle and went inside his house about 8 a.m. Tuesday , leaving the garage door open .",neutral
2117,The acquisition of +_landsbanken Sverige in 2009 burdened the performance with EUR 3.0 mn .,negative
2118,"A data processing unit collects the data , calculates RVR values and provides the data to users via various interfaces .",neutral
2119,"Operating income was EUR -24.9 mn , including EUR 15.3 mn of restructuring expenses .",neutral
2120,The aim is to develop open-source application solutions .,neutral
2121,"With the acquisition , the company will expand its offering to North , Central and South America , it said .",positive
2122,"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 23.4.2007 Ahlstrom Corporation will publish its first quarter financial results 2007 on Friday , April 27 , 2007 approximately at 8.30 a.m. Finnish time .",neutral
2123,`` I am extremely delighted with this project and the continuation of cooperation with Viking Line .,positive
2124,"Again , the most significant sales increase of 18.6 % was in Russia .",positive
2125,"`` That 's a very high figure on the European scale , '' Noop said , recalling however that this also includes beer bought by Finnish tourists .",neutral
2126,"Swedish engineering consultant firm Etteplan is to establish a unit in town Borl+Ænge , by the turn of the month March-April 2008 .",neutral
2127,"It combines a perfect price performance with sophisticated management facilities , the company said .",positive
2128,"The dividend is payable on February 1 , 2010 to shareholders of record on January 19 , 2010 .",neutral
2129,The carrier said its Area travel agency is to sell most of its outlets to sister chain Suomen Matkatoimisto (SMT)and use its remaining bricks-and-mortar presence to primarily target business customers going forward .,neutral
2130,"According to Gallup Food and Farm Facts , beef consumption totaled 99mn kilos in Finland in 2007 .",neutral
2131,Combined net sales in 2006 were $ 27 million and EBITDA was $ 13.7 million .,neutral
2132,"It is profitable to make pulp , paper , and sawn goods in areas where the combination of these factors is good .",neutral
2133,Unilever 's Turun Sinappi that is made in Sweden holds 40 % of the market .,neutral
2134,"Altogether CapMan employs approximately 150 people in Helsinki , Stockholm , Copenhagen , Oslo , Moscow and Luxembourg .",neutral
2135,"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , has a plant near Warsaw , in Poland , that makes flexible packaging .",neutral
2136,TeliaSonera is the leading telecommunications company in the Nordic and Baltic regions .,positive
2137,Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services .,neutral
2138,The compnay also said that it would lower the price of development projects by about one third compared with last November .,neutral
2139,"Secure your files online Like filling out a tax return , making a backup is boring .",neutral
2140,Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,neutral
2141,"`` While concerns remain longer term , size and scale may enable Nokia to hold on to its newfound margin improvements in the near term , '' the analyst wrote .",positive
2142,"Also , a six-year historic analysis is provided for this market .",neutral
2143,"Compared with the FTSE 100 index , which rose 28.3 points or 0.5 % on the day , this was a relative price change of 2.3 % .",positive
2144,"Altona stated that the private company of Altona chairman Kevin Maloney , Tulla Resources , would take up its entitlement in full .",neutral
2145,"Thus the group 's balance sheet will have about EUR25 .8 m of goodwill , the company added .",neutral
2146,The plant will collect raw material from the Baltic Sea region .,neutral
2147,"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier .",negative
2148,"The Board established a Remuneration Committee with following members : - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund In addition , the Board decided to appoint a Nomination Committee at a later stage .",neutral
2149,"Rautakesko 's business operations in Norway and Russia , acquired in July 2005 , are included in the figures of the comparable period , impacting sales growth starting from August .",neutral
2150,"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation .",negative
2151,"cents Scout for potential acquisition targets , with detailed insight into the companies financial and operational performance .",neutral
2152,Delivery is expected to take place later this month .,neutral
2153,The acquisition price was not disclosed .,neutral
2154,"Operating profit totalled EUR 1.22 mn , down from EUR 3.56 mn in the first quarter of 2008 .",negative
2155,"The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen .",neutral
2156,"ASPO Plc STOCK EXCHANGE BULLETIN October 24 , 2006 at 2:00 p.m. Aspo Systems Division has completed the statutory negotiations , as required under the Act on Co-Operation Within Undertakings , conducted as part of the action plan launched in August .",neutral
2157,25 November 2010 - Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) said today that Finnish state-owned investment company Solidium Oy sold its 14.7 % stake in the company for a total of EUR98m .,neutral
2158,"EPS from continuing operations came in at 0.30 eur , up from 0.17 .",positive
2159,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive
2160,Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings that were hit by larger expenditures on R&D and marketing .,negative
2161,"The service is intended to allow the people of thirteen Mediterranean countries to reach the Baltic more rapidly , with a single carrier .",positive
2162,"The recovery of demand that started toward the end of 2009 , continued in January-March 2010 .",positive
2163,"`` Uncommonly weak snow conditions in nearly every market have affected our first quarter result , '' Chief Executive Roger Talermo said .",negative
2164,The training modules aim at strengthening the public accounting abilities and fulfilling communal project management .,positive
2165,"ALEXANDRIA , Va. , Dec. 22 -- United States Patent no. 7,854,608 , issued on Dec. 21 , was assigned to Outotec Oyj ( Espoo , Finland ) .",neutral
2166,"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",positive
2167,Rapala Fishing Frenzy 2009 .,neutral
2168,"` We respect their decision ... the discussions are now closed , ' said Kai Telanne , Alma Media 's CEO .",neutral
2169,"There are currently some ten shops selling Tikkurila 's paints in Kazakhstan , and more shops will be opened continuously .",neutral
2170,"The OMX Helsinki index was 0.33 pct lower at 9,364.80 , while the OMX Helsinki CAP portfolio index was down 0.34 pct at 5,029.25 .",negative
2171,"`` There 's the issue of thieves stealing them from building sites , '' said Mr Smith .",negative
2172,"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m .",neutral
2173,The group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally .,neutral
2174,Fortum is now considering taking part in nuclear energy projects outside of Finland .,neutral
2175,"IT services firm TietoEnator was bucking the general trend , holding flat at 22.70 eur , after slipping back from earlier gains .",negative
2176,To raise consumer awareness and encourage people to recycle their old mobile devices Nokia runs regular recycling campaigns around the world .,neutral
2177,"The solution is demonstrated on a tablet developed by Aava Mobile as a multi-window system , which enables the use of several applications simultaneously , for example the viewing of messages and calendar side by side .",neutral
2178,"A replay will be available until 27 October 2006 in the following numbers : US callers : +1 617-£801-£6888 , non-US callers : +44 20 7365 8427 , access code : 2659 5401 .",neutral
2179,Sports equipment sales also progressed well owing to the prolonged winter season .,positive
2180,"Additionally , the company will terminate a maximum nine salaried and senior salaried employees ' employment contracts .",negative
2181,"Mr Ashley , deputy executive chairman of Sports Direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float .",neutral
2182,"The composite body is coated with a hard coating layer produced by thermal spraying , and the coating is ground . ''",neutral
2183,"The segment has an annual revenue of approximately EUR400m , the company said .",neutral
2184,The company 's share is listed in the Mid Cap segment of the NASDAQ OMX Helsinki .,neutral
2185,The goal is to secure the company 's profitability and competitiveness .,neutral
2186,Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .,positive
2187,"The pilot project proved that RIFD technology is ideal for our purposes '' , comments Olli Saarinen , Material Handling Supervisor at Yara .",positive
2188,"In the Baltic countries , development of operations and reorganisation continued , and non-recurring items related to the takeover process lowered earnings .",negative
2189,The value of the order is USD 2.3 mn .,neutral
2190,The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,neutral
2191,"Cash flow after investments amounted to EUR45m , down from EUR46m .",negative
2192,Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .,positive
2193,"We bring a new , committed leadership and business and strategic know-how to the company that we buy .",neutral
2194,"Aug. 17 , 2010 ( Curbed delivered by Newstex ) -- And now , the latest from Racked , covering shopping and retail from the sidewalks up .",neutral
2195,`` We could be there .,neutral
2196,"The total number of voting rights is 74,612,523 .",neutral
2197,"According to the company , staff will be laid off temporarily when necessary .",negative
2198,The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .,positive
2199,"As an alternative to the share exchange , Panostaja offers a full cash consideration at the value of 1.27 euro $ 1.7 per share .",neutral
2200,He is a Chartered Accountant in British Columbia and Alberta as well as a Certified Public Accountant in Washington State .,neutral
2201,"Finnish Bank of +_land reports operating profit of EUR 2.2 mn in the first quarter of 2010 , down from EUR 6.3 mn in the corresponding period in 2009 .",negative
2202,"In Finland , snow storms brought trees down on power lines , cutting off electricity for some 2,000 households .",negative
2203,"The company said Offshore segment represented 43 % of the total marine engines orders for the July-September 2010 period , Merchant 33 % , Special vessels 18 % , and Cruise and Ferry , and Ship Design -- 2 % and 3 % , respectively .",neutral
2204,Both sources said Nokia would unveil its new phone code-named `` Tube '' on Oct. 2 at an analyst and media event in London .,neutral
2205,"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",negative
2206,"According to Tyrv+Æinen 's estimation , Japan is a very essential location in terms of Finnair 's Asian strategy .",neutral
2207,"Rinkuskiai 's beer sales fell by 6.5 per cent to 4.16 million litres , while Kauno Alus ' beer sales jumped by 6.9 per cent to 2.48 million litres .",neutral
2208,Pharmaceuticals - Belgium This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Belgium .,neutral
2209,`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',positive
2210,"Simultaneously , Alma Media has purchased a 35 % share of Arena Interactive , a subsidiary of Arena Partners with a focus on mobile solutions development .",neutral
2211,Why put up costly cell phone towers in thinly populated areas when a few balloons would do ?,neutral
2212,"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .",negative
2213,Sales of clothing developed best .,positive
2214,"`` Thanks to my Nokia and Lulu , I am now proud to be a published His novel can be found here .",neutral
2215,The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,neutral
2216,Electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks .,neutral
2217,The measures result from the statutory joint negotiations with employees which started in February and concerned all operations in the country .,neutral
2218,Production will expand to other of Elcoteq 's locations including Mexico and Hungary during 2010 .,positive
2219,"According to Olvi , the company is already negotiating new agreements .",neutral
2220,Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas .,neutral
2221,"Master of Mayawas jointly developed by Nokia Siemens Networks and UFA - FremantleMedia , and will be actively advertised by Maxis in the end of May 2007 .",neutral
2222,"The contract incorporates a Convergent Charging rating solution for voice and data , which includes Internet , GPRS , SMS , MMS and WAP .",neutral
2223,Kone said in court papers that the union action delayed repairs to elevators at the federal courthouse on Jan. 21 and the Saltonstall state office building on Jan. 23 .,negative
2224,"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .",neutral
2225,"Via the takeover , Panostaja further expands its business area specialising in digital printing , which since previously consists of the subsidiaries Kopijyva Oy and Sokonet Oy .",positive
2226,"The cooperation will involve Arena Partners buying a 35 % share of the new joint venture company , operating in Alma Media 's home sales , vehicle and consumer advertising marketplace businesses .",neutral
2227,"HELSINKI AFX - Kesko Corp is expected to report a lower second quarter EPS today due to tax charges , but other earnings lines are seen higher year-on-year , analysts said .",negative
2228,"The Bristol Port Company has sealed a one million pound contract with Cooper Specialised Handling to supply it with four 45-tonne , customised reach stackers from Konecranes .",positive
2229,"There are companies , which are ready to invest their own funds in this deal such as Rostelecom RTS : RTKM .",positive
2230,"Kai Tulonen , Chief Technology Officer , SysOpen Digia says : `` Mobility Business Suite represents a significant milestone in the company 's offering to the telecommunications industry .",positive
2231,The energy sector accounted for approximately 33 % and the steel industry for about 57 % of the transportation volume .,neutral
2232,"The corresponding increase in the share capital due to these subscriptions with the warrants , in total EUR 1,860.74 , was registered with the Finnish Trade Register on January 4 , 2008 .",neutral
2233,"Swedish , Finnish and Danish listed companies are organized in three market cap segments , Nordic Large Cap , Mid Cap and Small Cap .",neutral
2234,Yvonne Jones is owner of Chameleon Interiors .,neutral
